name,rating,ratingCount,priceRanges,category,address,postcode,openingHours,phone,web,serviceInfo,admin_county,admin_district,nuts,pfa,latitude,longitude,country,priceRangeAvg,msoa
Cocked Hat,4.0,2209.0,£10–20,Pub,"Privett Rd, Gosport PO12 3TR",PO12 3TR,,023 9258 3422,greeneking.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, On-site services, Dine-in, Delivery, Takeaway"",""Highlights"":""Bar games, Karaoke, Live music, Live performances, Quiz night, Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Free of charge street parking, Free parking lot, Plenty of parking"",""Pets"":""Dogs allowed""}",Hampshire,Gosport,Gosport, Hampshire, 50.794883,-1.162522,England,10.0,E02004749
Tap & Tandoor,4.7,579.0,£10–20,Gastropub,"Gunwharf Rd, Portsmouth PO1 3TJ",PO1 3TJ,,023 9381 3150,tapandtandoor.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Delivery, Takeaway, Dine-in"",""Highlights"":""Bar games, Quiz night, Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Food, Free water refills, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Has changing table(s), High chairs, Kids' menu"",""Parking"":""Paid multi-storey car park, Paid parking lot, Paid street parking, Plenty of parking"",""Pets"":""Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.794328,-1.106968,England,10.0,E02003547
Bella Calabria,4.4,919.0,£10–20,Italian restaurant,"45 London Rd, North End, Portsmouth PO2 0BH",PO2 0BH,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9269 4371,bellacalabriaportsmouth.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Braille menu, Cocktails, Coffee, Free water refills, Happy-hour food, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Cheques, Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid street parking, Somewhat difficult to find a space""}",,Portsmouth,Portsmouth, Hampshire, 50.814827,-1.079977,England,10.0,E02003534
Nice Tin Tin Chinese Restaurant,4.4,456.0,£10–20,Chinese restaurant,"28 The Hard, Portsmouth PO1 3DT",PO1 3DT,"{""Sunday"":""12 - 10:30pm"",""Monday"":""12 - 10:30pm"",""Tuesday"":""12 - 10:30pm"",""Wednesday"":""Closed"",""Thursday"":""12 - 10:30pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9217 4590,nicetintin.co.uk,"{""Accessibility"":""Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Free water refills, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids"",""Parking"":""Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.797996,-1.10592,England,10.0,E02003539
El Greco,4.7,288.0,£20–30,Greek restaurant,"8 Bellevue Terrace, Southsea, Portsmouth, Southsea PO5 3AT",PO5 3AT,"{""Sunday"":""1:30 - 10pm"",""Monday"":""Closed"",""Tuesday"":""3:30 - 11pm"",""Wednesday"":""3:30 - 11pm"",""Thursday"":""3:30 - 11pm"",""Friday"":""3:30 - 11pm"",""Saturday"":""1:30 - 11pm""}",07594 159161,elgrecoportsmouth.co.uk,"{""Service options"":""Takeaway, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu"",""Parking"":""Paid street parking, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.789083,-1.096187,England,20.0,E02003547
UMAMI Street Food,4.7,1602.0,£10–20,Restaurant,"167 Elm Grove, Southsea, Portsmouth, Southsea PO5 1LU",PO5 1LU,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9273 0033,umamistreetfood.com,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Coffee, Halal food, Healthy options, Late-night food, Small plates"",""Dining options"":""Brunch, Lunch, Dinner, Dessert"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, Kids' menu"",""Parking"":""Free of charge street parking, Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.789513,-1.083254,England,10.0,E02003541
abarbistro,4.6,1121.0,Moderate,Bistro,"Lombard Terrace, 58 White Hart Rd, Old Portsmouth, Portsmouth PO1 2JA",PO1 2JA,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9281 1585,abarbistro.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Great tea selection"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Paid parking lot, Paid street parking, Plenty of parking"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.789948,-1.105775,England,,E02003547
The Rocka Restaurant,4.7,472.0,£20–40,Restaurant,"42 Osborne Rd, Southsea, Portsmouth, Southsea PO5 3LT",PO5 3LT,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9234 6417,therockarestaurant.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Takeaway, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Dessert"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Paid parking lot, Paid street parking, Somewhat difficult to find a space""}",,Portsmouth,Portsmouth, Hampshire, 50.784971,-1.091528,England,20.0,E02003547
The Chambers,4.3,444.0,£20–30,Restaurant,"27 Landport Terrace, Southsea, Portsmouth, Southsea PO1 2RG",PO1 2RG,"{""Sunday"":""9am - 6 pm"",""Monday"":""Closed"",""Tuesday"":""Closed"",""Wednesday"":""11am - 10:30 pm"",""Thursday"":""11am - 10:30 pm"",""Friday"":""11am - 11 pm"",""Saturday"":""9am - 11 pm""}",023 9281 8270,thechambers.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Late-night food, Spirits, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Reservations required, Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Parking"":""Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.792207,-1.095645,England,20.0,E02003547
Florio's D'italia,4.7,353.0,£10–20,Pizza restaurant,"119 High St, Old Portsmouth, Portsmouth PO1 2HW",PO1 2HW,"{""Sunday"":""12 - 9pm"",""Monday"":""Closed"",""Tuesday"":""12 - 9pm"",""Wednesday"":""12 - 9pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""11am - 10 pm""}",023 9417 0451,floriosditalia.com,"{""Accessibility"":""Wheelchair-accessible entrance"",""Service options"":""Kerbside pickup, Delivery, On-site services, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Breakfast, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments"",""Children"":""Good for kids, High chairs"",""Parking"":""Paid street parking, Plenty of parking"",""Pets"":""Dogs allowed, Dogs allowed inside""}",,Portsmouth,Portsmouth, Hampshire, 50.791695,-1.101286,England,10.0,E02003547
Sant Yago,4.7,781.0,£20–40,Tapas bar,"Sant Yago, 12 Clarendon Rd, Portsmouth, Southsea PO5 2EE",PO5 2EE,"{""Sunday"":""12 - 9pm"",""Monday"":""5 - 9pm"",""Tuesday"":""5 - 9:30pm"",""Wednesday"":""5 - 10pm"",""Thursday"":""5 - 10pm"",""Friday"":""3 - 11pm"",""Saturday"":""12 - 11pm""}",023 9217 9636,santyago.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Food, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Cosy, Romantic, Upmarket"",""Crowd"":""Groups"",""Planning"":""Reservations required, Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""High chairs""}",,Portsmouth,Portsmouth, Hampshire, 50.78446,-1.087977,England,20.0,E02003545
The Florence Arms Gastro Pub & Restaurant,4.5,785.0,£20–30,Gastropub,"18-20 Florence Rd, Southsea, Portsmouth, Southsea PO5 2NE",PO5 2NE,,023 9200 7888,theflorencearmssouthsea.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery, Takeaway"",""Highlights"":""Sport"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Food, Food at bar, Free water refills, Happy-hour drinks, Healthy options, Late-night food, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed, Dogs allowed inside, Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.781036,-1.082569,England,20.0,E02003548
MAYFAIR CHINESE RESTAURANT,4.4,219.0,£20–30,Chinese restaurant,"Isambard Brunel Rd, Round corner Portsmouth PO1 2DB",PO1 2DB,"{""Sunday"":""12 - 9pm"",""Monday"":""12 - 9pm"",""Tuesday"":""Closed"",""Wednesday"":""12 - 9pm"",""Thursday"":""12 - 9pm"",""Friday"":""12 - 9pm"",""Saturday"":""12 - 9pm""}",023 9229 7777,,"{""Accessibility"":""Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Healthy options, Late-night food, Small plates, Spirits, Wine"",""Dining options"":""Lunch, Dinner, Catering, Counter service, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards""}",,Portsmouth,Portsmouth, Hampshire, 50.798107,-1.092011,England,20.0,E02003539
Fuegos Street,4.8,1020.0,£10–20,Tex-Mex restaurant,"93 Elm Grove, Southsea, Portsmouth, Southsea PO5 1JF",PO5 1JF,"{""Sunday"":""12 - 10pm"",""Monday"":""4 - 10pm"",""Tuesday"":""4 - 10pm"",""Wednesday"":""4 - 10pm"",""Thursday"":""4 - 10pm"",""Friday"":""4 - 10:30pm"",""Saturday"":""12 - 10:30pm""}",023 9279 3859,fuegos-street.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Assistive hearing loop, Wheelchair-accessible car park"",""Service options"":""Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in"",""Offerings"":""Coffee, Halal food, Healthy options, Late-night food, Organic dishes, Small plates, Vegan options, Vegetarian options"",""Dining options"":""Brunch, Lunch, Dinner, Counter service, Dessert, Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking"",""Pets"":""Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.790333,-1.088047,England,10.0,E02003541
7Bone Burger Co. Portsmouth,4.4,1592.0,£10–20,Hamburger restaurant,"16 Guildhall Walk, Portsmouth PO1 2DD",PO1 2DD,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10:30pm"",""Saturday"":""12 - 10:30pm""}",07708 159877,7bone.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Free water refills, Halal food, Late-night food, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Paid parking lot, Paid street parking""}",,Portsmouth,Portsmouth, Hampshire, 50.796541,-1.093077,England,10.0,E02003539
The Dolphin Pub & Kitchen,4.3,1241.0,£10–20,Pub,"41 High St, Old Portsmouth, Portsmouth PO1 2LU",PO1 2LU,,023 9282 0762,thedolphinpubandkitchen.com,"{""Accessibility"":""Assistive hearing loop, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Takeaway, Dine-in, Delivery"",""Highlights"":""Great cocktails, Live performances"",""Offerings"":""Alcohol, Beer, Cocktails, Food, Food at bar, Free water refills, Spirits, Wine"",""Dining options"":""Seating"",""Amenities"":""Toilets"",""Atmosphere"":""Casual, Cosy"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments"",""Parking"":""Paid street parking"",""Pets"":""Dogs allowed""}",,Portsmouth,Portsmouth, Hampshire, 50.789918,-1.104186,England,10.0,E02003547
Nicholsons,4.6,775.0,£20–30,Restaurant,"245 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JR",PO4 0JR,"{""Sunday"":""12 - 11pm"",""Monday"":""12 - 11pm"",""Tuesday"":""12 - 11pm"",""Wednesday"":""12 - 11pm"",""Thursday"":""12 - 11pm"",""Friday"":""12 - 11pm"",""Saturday"":""12 - 11pm""}",023 9281 5222,nicholsonsrestaurant.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Wheelchair-accessible car park"",""Service options"":""Outdoor seating, Dine-in, Delivery"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual, Cosy, Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Free parking lot""}",,Portsmouth,Portsmouth, Hampshire, 50.786523,-1.071283,England,20.0,E02003543
Restaurant 1865,4.5,53.0,£10–20,Restaurant,"Osborne Rd, Clarence Parade, Southsea, Portsmouth, Southsea PO5 3LJ",PO5 3LJ,,023 9282 2466,restaurant1865.com,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Dine-in, Delivery, Takeaway"",""Highlights"":""Great cocktails, Live music"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Spirits, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Romantic"",""Crowd"":""Family friendly, Groups, LGBTQ+ friendly, Transgender safe space"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Good for kids, Has changing table(s), High chairs, Kids' menu"",""Parking"":""Free parking lot, Plenty of parking"",""Pets"":""Dogs allowed outside""}",,Portsmouth,Portsmouth, Hampshire, 50.785094,-1.093128,England,10.0,E02003547
Banana Tree Portsmouth,4.6,768.0,£20–40,Restaurant,"Unit R24 & 94, The Canalside, Portsmouth PO1 3FA",PO1 3FA,"{""Sunday"":""11am - 10 pm"",""Monday"":""11am - 10 pm"",""Tuesday"":""11am - 10 pm"",""Wednesday"":""11am - 10 pm"",""Thursday"":""11am - 10 pm"",""Friday"":""11am - 11 pm"",""Saturday"":""11am - 11 pm""}",023 9200 1343,bananatree.co.uk,"{""Accessibility"":""Wheelchair-accessible entrance, Wheelchair-accessible seating"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Highlights"":""Great cocktails"",""Offerings"":""Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine"",""Dining options"":""Brunch, Lunch, Dinner, Dessert, Seating"",""Amenities"":""Bar on site, Toilets"",""Atmosphere"":""Casual, Romantic"",""Crowd"":""Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards"",""Children"":""Kids' menu"",""Parking"":""Paid parking lot, Paid street parking, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.7948,-1.105185,England,20.0,E02003547
Casa Brasil Portsmouth,4.4,2754.0,£20–40,Brazilian restaurant,"44-45 The Boardwalk, Portsmouth PO6 4TP",PO6 4TP,"{""Sunday"":""12 - 10pm"",""Monday"":""12 - 10pm"",""Tuesday"":""12 - 10pm"",""Wednesday"":""12 - 10pm"",""Thursday"":""12 - 10pm"",""Friday"":""12 - 10pm"",""Saturday"":""12 - 10pm""}",023 9221 4444,casabrasilrestaurants.co.uk,"{""Accessibility"":""Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet"",""Service options"":""Outdoor seating, Delivery, Takeaway, Dine-in"",""Offerings"":""Alcohol, All you can eat, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Spirits, Vegetarian options, Wine"",""Dining options"":""Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating"",""Amenities"":""Bar on site, Toilets, Wi-Fi, Free Wi-Fi"",""Atmosphere"":""Casual"",""Crowd"":""Family friendly, Groups"",""Planning"":""Accepts reservations"",""Payments"":""Credit cards, Debit cards, NFC mobile payments, Credit cards"",""Children"":""Good for kids, High chairs, Kids' menu"",""Parking"":""Free of charge street parking, Free parking lot, Plenty of parking""}",,Portsmouth,Portsmouth, Hampshire, 50.84086,-1.097076,England,20.0,E02003527
